complaint_text,category
"Hi, i haven't received my order yet.",Shipping & Delivery
"Hi, i paid two days ago but my account still shows a balance.",Billing Issue
Issue: The item broke after one use.,Product Quality
Ticket 47054: The manager I spoke to a few hours ago was unhelpful.,Customer Support Experience
Ticket 67690: The maintenance work is severely delayed.,Service Delay
I'm writing because terrible experience with your support staff.,Customer Support Experience
Ticket 17094: There is a bug when I try to save my settings.,Technical Issue
Hello. The box was completely crushed when it arrived.,Shipping & Delivery
My escalation ticket from two days ago is still untouched. Order #22371.,Service Delay
Hello. You promised 24hr turnaround but it's been a week.,Service Delay
"I love the new design, it's very stellar. Order #87660.",Feedback
"Hi, i can't link my new connection to my account.",Account Issue
Issue: The system overheats after 10 minutes.,Technical Issue
Ticket 15524: My request is still pending after weeks.,Service Delay
"Hi, i can't connect to the wi-fi network.",Technical Issue
I received a phishing email from your domain. Order #6919.,Privacy & Security
It stopped working recently.,Product Quality
Ticket 32752: Your service is absolutely good.,Feedback
I'm writing because this hardware is very poorly made.,Product Quality
Ticket 19922: I kept getting transferred from department to department.,Customer Support Experience
Issue: I requested a fix over the weekend and it's still not done.,Service Delay
Hello. My credit card info was stolen this morning after using your site.,Privacy & Security
You billed me for a cancelled router. This is urgent.,Billing Issue
I'm writing because missing items in my delivery.,Shipping & Delivery
Issue: My invoice from on Tuesday has the wrong amount.,Billing Issue
I am getting targeted ads based on my voice conversations. Please help.,Privacy & Security
The system says my username is invalid.,Account Issue
Hello. Please delete all my data immediately.,Privacy & Security
I'm writing because i haven't received my product yet.,Shipping & Delivery
"To whom it may concern, i received a phishing email from your domain.",Privacy & Security
"To whom it may concern, the manager i spoke to on tuesday was unhelpful.",Customer Support Experience
Issue: I can't find the search button on your new website.,Website/App Usability
"To whom it may concern, the screen freezes when i am submitting.",Technical Issue
I'm writing because the software overheats after 10 minutes.,Technical Issue
I paid a month ago but my account still shows a balance. Please help.,Billing Issue
I'm writing because the contrast on the new router makes it impossible to read.,Website/App Usability
I'm writing because i need a refund for the extra fees charged two days ago.,Billing Issue
Hello. Just wanted to say the new system is helpful.,Feedback
My escalation ticket from earlier today is still untouched. Please help.,Service Delay
"Hi, your customer service is useless.",Customer Support Experience
Issue: I was billed for an upgrade I never requested on the order.,Billing Issue
Ticket 69013: My account details were changed without my permission.,Account Issue
"To whom it may concern, the order arrived with scratches on it.",Product Quality
"Hi, i cannot log into my account since recently.",Account Issue
The promotional code was not applied to my device. Please help.,Billing Issue
You sold my email address to third parties. Order #27817.,Privacy & Security
My cable was supposed to arrive on Monday. Order #84037.,Shipping & Delivery
My escalation ticket from over the weekend is still untouched. Please help.,Service Delay
I haven't received my account yet.,Shipping & Delivery
I'm writing because the representative i spoke with a few hours ago was very rude.,Customer Support Experience
The support team couldn't resolve my issue. Order #31161.,Customer Support Experience
Hello. Just wanted to say the new router is excellent.,Feedback
Issue: The auto-renew triggered last month even though I turned it off.,Billing Issue
I can't find the search button on your new website.,Website/App Usability
I was on hold for an hour. Order #47337.,Customer Support Experience
You promised 24hr turnaround but it's been a week. Order #76090.,Service Delay
I'm receiving a fatal error when syncing. Order #5373.,Technical Issue
I haven't received my connection yet. Order #35913.,Shipping & Delivery
"To whom it may concern, the material of the product feels cheap.",Product Quality
Five stars for the brilliant support team! Order #37097.,Feedback
Issue: The new update is outstanding.,Feedback
"To whom it may concern, the item is completely bricked since on monday.",Technical Issue
I'm receiving a fatal error when submitting. Order #32678.,Technical Issue
"To whom it may concern, the promotional code was not applied to my system.",Billing Issue
I'm writing because i kept getting transferred from department to department.,Customer Support Experience
Ticket 89342: Nobody is answering the customer service line.,Customer Support Experience
Why is my monthly bill higher than usual? This is urgent.,Billing Issue
Hello. I can't link my new order to my account.,Account Issue
My order was routed to the wrong state on Thursday. Order #27531.,Shipping & Delivery
Ticket 90182: The material of the website feels cheap.,Product Quality
Ticket 21742: I requested a fix on Wednesday and it's still not done.,Service Delay
I have been waiting for my upgrade since last month. Please help.,Service Delay
Issue: I am getting targeted ads based on my voice conversations.,Privacy & Security
Ticket 88004: Very satisfied with the quick resolution.,Feedback
"Hi, i requested a fix on tuesday and it's still not done.",Service Delay
The server is completely unresponsive. This is urgent.,Technical Issue
"To whom it may concern, your chat bot is completely useless.",Customer Support Experience
I never agreed to this product subscription. This is urgent.,Billing Issue
The 2FA code is not sending to my phone. This is urgent.,Account Issue
Issue: The signature confirmation was faked by the driver.,Shipping & Delivery
Thank you for the stellar service on Friday. Order #95904.,Feedback
You billed me for a cancelled account. Order #35443.,Billing Issue
"To whom it may concern, i noticed unrecognized devices logged into my account yesterday.",Privacy & Security
I'm writing because i'm receiving a fatal error when installing.,Technical Issue
"To whom it may concern, my package was delivered to the wrong address.",Shipping & Delivery
Ticket 20697: Why are you tracking my location?,Privacy & Security
"To whom it may concern, nobody is answering the customer service line.",Customer Support Experience
